CourseName,Credit,Class,CourseID
职场展望,1.0,人文与社会类，地点：就业中心第二报告厅,20152080010
少林寺与中国传统文化,1.0,中国与全球类,20152031118
服饰文化,1.0,教室在一校区,20152049001
自然计算方法导论,1.0,自然与工程类,20152021150
人类生存发展与核科学,1.0,自然与工程类,20152011097
大学生心理健康,1.0,人文与社会类,20152083001
数字媒体传播基础,1.0,"自然与工程类，范赐恩,颜佳",20152022004
河流概论,1.0,自然与工程类,20152016118
工程建设与环境协调,1.0,自然与工程类,20152020094
现代环境污染与都市病,1.0,自然与工程类,20152017093
结构美学－中外桥梁美学赏析,1.0,艺术与欣赏类,20152020096
可再生能源发电技术,1.0,"自然与工程类，苏凯,程永光,",20152016066
Internet应用及安全,1.0,自然与工程类,20152021154
饮食营养与慢性疾病,1.0,自然与工程类，4区上课,20152028001
西方社会学理论 （导论）,2.0,人文与社会类,20152061039
博物馆学概论,2.0,自然与工程类,20152029100
计算机信息检索与利用(工)1,2.0,自然与工程类，上课地点：图书馆总馆D,20152053005
数字化建筑设计方法,2.0,自然与工程类，2区1－1310(机房),20152019198
表演基础,2.0,艺术与欣赏类，艺术系2号排练厅,20152032065
Inventor产品设计及新标准,2.0,自然与工程类，2区1－1311,20152019197
贝多芬经典作品赏析,2.0,艺术与欣赏类,20152032069
大学生身心健康,2.0,人文与社会类,20152036001
装饰绘画基础,2.0,艺术与欣赏类,20152035049
机器人设计与竞赛,2.0,自然与工程类，戴锦春,20152018101
材料科学,2.0,自然与工程类,20152011094
《孟子》讲析,2.0,人文与社会类，教室在一校区,20152049004
SAS（统计分析系统）,2.0,数学与推理类,20152047077
JAVA程序设计,2.0,数学与推理类,20152047084
公共关系学,2.0,研究与领导类,20152042019
音乐剧欣赏,2.0,艺术与欣赏类,20152032078
中国古代数术文化,2.0,中国与全球类,20152029085
音乐欣赏,2.0,艺术与欣赏类,20152032079
大学语文,2.0,人文与社会类，教室在一校区,20152049011
互联网概论,2.0,数学与推理类,20152047101
汽车概论,2.0,自然与工程类,20152018013
现代人文科学概论,2.0,人文与社会类,20152031107
水利水电工程概论,2.0,自然与工程类,20152016099
C语言程序设计,2.0,数学与推理类,20152047073
大坝变形观测,2.0,自然与工程类,20152016007
建筑与音乐,2.0,艺术与欣赏类,20152019270
创新与实践,2.0,自然与工程类,20152018010
创业管理,2.0,人文与社会类,20152005459
数字媒体技术基础,2.0,自然与工程类,20152035050
C语言程序设计,2.0,数学与推理类,20152047075
图形图像软件应用,2.0,自然与工程类，刘婷婷,20152014146
流域环境模型,2.0,自然与工程类,20152014137
大学语文,2.0,人文与社会类，教室在四校区,20152049007
高等数学能力拓展,4.0,数学与推理类,20152056166
基础韩国语,3.0,交流与写作类,20152062001
中国书法基础,3.0,艺术与欣赏类,20152031106
土建力学基础,3.0,自然与工程类,20152035051
当代世界经济与政治,1.0,中国与全球类,20152034083
《四书》导读,1.0,人文与社会类,20152033088
中国的世界遗产赏析,1.0,中国与全球类,20152004146
批判性思维导引,1.0,数学与推理类,20152033094
MATLAB及其应用,1.0,自然与工程类,20152022002
文学欣赏与批评,1.0,艺术与欣赏类,20152031109
企业竞争情报,1.0,人文与社会类,20152004149
创新思维与方法,1.0,人文与社会类,20152005456
数字图像处理技巧,1.0,自然与工程类,20152023088
中国古代青铜器,2.0,艺术与欣赏类,20152029002
材料防护与资源效益,1.0,自然与工程类,20152018007
中国陶瓷艺术,1.0,"中国与全球类，耗材50元,城设陶艺室",20152019276
中国陶瓷艺术,1.0,"中国与全球类，耗材50元陶艺室,12",20152019273
人文化学,1.0,人文与社会类,20152012108
口腔保健,1.0,自然与工程类,20152026032
化学与社会,2.0,自然与工程类,20152012117
太极与养生,1.0,自然与工程类,20152040696
GPS导航应用,1.0,自然与工程类，遥感学院、测绘学院的测,20152024019
大学生职业规划与就业,1.0,人文与社会类，建议文理学部同学选修,20152080001
中国乡土建筑赏析,1.0,艺术与欣赏类,20152019272
科技与考古,1.0,自然与工程类,20152011092
心理咨询与治疗,1.0,人文与社会类,20152083007
大学生心理健康,1.0,人文与社会类,20152083004
水质与人体健康和社会发展,1.0,自然与工程类,20152018005
地震减灾漫谈,1.0,自然与工程类，11教,20152020097
电与电能,1.0,自然与工程类,20152017092
大学生心理健康,1.0,人文与社会类,20152083002
中国教育名著导读,1.0,人文与社会类,20152079001
计算机常用工具软件的使用,1.0,自然与工程类,20152021152
物联网应用及安全,1.0,自然与工程类,20152021162
交通运输与区域经济,1.0,自然与工程类，3区,20152020092
大学生就业指导,1.0,人文与社会类，仅限医学部同学选修,20152080005
大学生生涯规划,1.0,人文与社会类，仅限医学部同学选修,20152080008
行为与健康,1.0,人文与社会类,20152028005
视觉艺术与设计,1.0,艺术与欣赏类,20152019268
艾滋病防治,2.0,人文与社会类,20152025098
从分子水平看世界,1.0,自然与工程类,20152012114
网络信息资源检索与利用1,2.0,自然与工程类，上课地点：工学分馆二楼,20152053001
芭蕾形体训练,2.0,艺术系1号排练厅,20152032064
